city,name,lat,lon,category,tags,popularity,hidden,duration_min,open,closed_days,price_eur
Paris,Musée d'Orsay,48.86,2.3266,museum,"art,photo,history",0.95,0,90,09:30-18:00,Mon,16
Paris,Jardin du Luxembourg,48.8462,2.3371,park,"relax,photo,romantic",0.86,0,60,07:00-21:30,,0
Paris,Canal Saint-Martin Walk,48.8722,2.3656,walk,"locals,photo,street-art",0.78,1,60,00:00-23:59,,0
Paris,Rue Cremieux,48.847,2.3695,street,"photo,hidden-gem,street-art",0.7,1,25,00:00-23:59,,0
Paris,Montmartre Sunset Steps,48.8867,2.3431,viewpoint,"view,romantic,photo",0.88,0,45,00:00-23:59,,0
Paris,Marché des Enfants Rouges,48.8635,2.3613,food_market,"gourmet,locals,shopping",0.82,0,60,10:00-20:30,Mon,12
Paris,Centre Pompidou,48.8606,2.3522,museum,"art,modern,photo",0.9,0,90,11:00-21:00,Tue,14
Paris,Parc des Buttes-Chaumont,48.8809,2.3817,park,"relax,photo,locals",0.84,0,60,07:00-22:00,,0
Paris,Tuileries Garden,48.8646,2.3275,park,"relax,photo,romantic",0.82,0,45,07:00-21:00,,0
Paris,Le Perchoir (rooftop),48.8639,2.372,food_drink,"nightlife,rooftop,view",0.68,0,120,17:00-01:30,Mon,17
Paris,Oberkampf Bars,48.8653,2.377,street,"nightlife,locals,photo",0.72,0,120,18:00-02:00,Mon,12
Paris,Sainte-Chapelle,48.8554,2.345,landmark,"history,photo,art",0.9,0,45,09:00-19:00,,11
Paris,Parc de la Villette & Canal,48.8925,2.3884,walk,"locals,relax,photo",0.75,0,60,00:00-23:59,,0
Paris,Palais-Royal & Colonnes de Buren,48.8638,2.3375,landmark,"photo,art,romantic",0.83,0,40,08:00-20:00,,0
Lyon,Basilique de Fourvière,45.7622,4.8229,landmark,"view,photo,history",0.92,0,60,08:00-19:00,,0
Lyon,Parc de la Tête d'Or,45.7797,4.852,park,"relax,photo,locals",0.85,0,90,06:30-22:30,,0
Lyon,Halles Paul Bocuse,45.7673,4.8526,food_market,"gourmet,locals,shopping",0.84,0,60,07:00-19:00,Mon,15
Lyon,Mur des Canuts,45.7765,4.83,street_art,"street-art,photo,locals",0.74,1,30,00:00-23:59,,0
Lyon,Traboules Croix-Rousse,45.7754,4.8277,walk,"history,hidden-gem,locals",0.7,1,75,09:00-19:00,,0
Lyon,Jardin des Curiosités,45.7453,4.8262,viewpoint,"romantic,view,photo",0.78,0,40,07:00-22:00,,0
Lyon,Le Sucre (rooftop),45.7469,4.8196,food_drink,"nightlife,rooftop,photo",0.66,0,120,18:00-02:00,Mon,16
Lyon,Berges du Rhône,45.759,4.842,walk,"hike,relax,photo",0.68,0,45,00:00-23:59,,0
Lyon,Confluence Street Art,45.7333,4.8199,street_art,"street-art,modern,photo",0.7,1,45,00:00-23:59,,0
Lyon,Parc des Hauteurs,45.7624,4.817,walk,"relax,view,photo",0.72,0,50,07:00-22:00,,0
Lyon,Vieux Lyon Bouchons,45.7634,4.827,food,"gourmet,locals,history",0.8,0,60,12:00-22:30,,22
Lyon,Place Bellecour,45.7578,4.832,landmark,"photo,shopping,locals",0.76,0,30,00:00-23:59,,0
Marseille,Vieux-Port Promenade,43.2951,5.3723,walk,"locals,photo,iconic",0.86,0,50,00:00-23:59,,0
Marseille,Le Panier Ruelle,43.3025,5.3684,street,"street-art,history,hidden-gem",0.74,1,60,09:00-20:00,,0
Marseille,Notre-Dame de la Garde,43.2841,5.3713,landmark,"view,photo,romantic",0.91,0,60,07:00-19:00,,0
Marseille,Calanque de Sormiou,43.2045,5.4257,nature,"hike,photo,relax",0.88,0,120,07:00-20:00,,0
Marseille,R2 Rooftop,43.3096,5.3656,food_drink,"nightlife,rooftop,view",0.68,0,120,18:00-02:00,Mon,18
Marseille,Cours Julien Frescoes,43.2917,5.383,street_art,"street-art,photo,locals",0.76,1,40,00:00-23:59,,0
Marseille,Les Terrasses du Port,43.31,5.3714,shopping,"shopping,locals,photo",0.7,0,60,10:00-20:00,,0
